unix,open,high,low,close
1640317380,51074,51076.5,51074,51076.5
1640317320,51055.85,51073.5,51041.73,51073.5
1640317260,51071.77,51071.77,51071.77,51071.77
1640317200,51068.23,51084.85,51051.34,51051.34
1640317140,51049.25,51068.23,51049.25,51068.23
1640317080,51063.55,51063.55,51051.25,51051.25
1640317020,51064.61,51080,51063.55,51063.55
1640316960,51071.98,51071.98,51064.84,51064.84
1640316900,51069.32,51075.48,51069.32,51070.85
1640316840,51062.8,51073.94,51062.8,51069.32
1640316780,51057.77,51069.5,51057.77,51062.81
1640316720,51053.73,51053.73,51053.73,51053.73
1640316660,51032.93,51053.73,51025.12,51053.73
1640316600,51079.5,51079.85,51058.03,51058.03
1640316540,51066.44,51095.41,51052.44,51068.25
1640316480,51115.24,51115.24,51032.75,51066.43
1640316420,51163.85,51163.85,51163.85,51163.85
1640316360,51158.57,51158.57,51158.57,51158.57
1640316300,51128.76,51146.37,51128.76,51146.37
1640316240,51147.75,51147.75,51128,51131.16
1640316180,51179.41,51179.73,51163.87,51163.87
1640316120,51095,51169.82,51095,51169.82
1640316060,51055.5,51094.99,51055.5,51094.99
1640316000,51045.35,51045.35,51045.35,51045.35
1640315940,51051.34,51052.45,51051.34,51052.45
1640315880,51076.46,51077.36,51076.46,51077.36
1640315820,51107.15,51107.15,51052.05,51053.64
1640315760,51152.99,51152.99,51115.25,51115.25
1640315700,51126.46,51126.46,51126.46,51126.46
1640315640,51078.48,51110.25,51078.48,51081.49
1640315580,51049.63,51079.91,51049.63,51079.91
1640315520,51048.7,51061.32,51048.7,51050.45
1640315460,51048.35,51048.35,51025.17,51048.1
1640315400,51031.5,51067.49,51031.5,51048.52
1640315340,51031.5,51031.5,51009.76,51031
1640315280,51016.07,51027.44,50986.16,51027.44
1640315220,50994.56,51001.33,50987.63,50987.63
1640315160,51046.5,51046.5,50993.56,50993.56
1640315100,51067.5,51067.5,51067.5,51067.5
1640315040,51040.34,51058.5,51040.34,51058.5
1640314980,51001,51025,50998.48,51025
1640314920,51053.72,51057.2,51032.73,51039.05
1640314860,51071.05,51071.05,51020.17,51036.36
1640314800,51105,51109.05,51086.94,51086.94
1640314740,51104.99,51105,51099.96,51099.96
1640314680,51123.5,51133.74,51122.86,51133.74
1640314620,51120.35,51123.5,51108.94,51108.94
1640314560,51138.36,51140.5,51126.99,51126.99
1640314500,51096.27,51137.5,51096.27,51137.5
1640314440,51105.5,51115.36,51105.5,51115.36
1640314380,51120.86,51120.86,51107.95,51107.95
1640314320,51126.5,51136.49,51120.86,51120.86
1640314260,51123.21,51135.98,51122.76,51122.76
1640314200,51110.46,51110.46,51110.45,51110.45
1640314140,51095.36,51121.45,51095.36,51121.45
1640314080,51081.75,51092.91,51081.75,51092.55
1640314020,51082.33,51082.34,51050,51075.72
1640313960,51100.12,51106.99,51090,51090
1640313900,51109.71,51109.71,51093,51108.17
1640313840,51169.8,51169.8,51104.84,51104.84
1640313780,51218.25,51237.57,51153.37,51164
1640313720,51214.31,51214.31,51214.31,51214.31
1640313660,51230.08,51230.08,51181.38,51198.35
1640313600,51225.85,51225.88,51202.04,51211.5
1640313540,51217.38,51217.38,51217.38,51217.38
1640313480,51205.27,51230.08,51205.27,51230.08
1640313420,51194.57,51199.88,51181.31,51199.88
1640313360,51186.93,51203.08,51181.51,51186.97
1640313300,51222.48,51242.85,51210.31,51210.31
1640313240,51196.76,51218.08,51196.76,51203.18
1640313180,51187.14,51211.17,51187.14,51211.17
1640313120,51243.99,51246.38,51206.88,51229.4
1640313060,51237.44,51245.58,51232.04,51243.99
1640313000,51287.42,51287.42,51234.42,51251.93
1640312940,51304.58,51304.58,51269.5,51269.5
1640312880,51284.49,51308.59,51270.92,51305
1640312820,51247.29,51280.49,51245.24,51276.98
1640312760,51260.27,51288.11,51247.38,51247.38
1640312700,51279.73,51301.25,51276.77,51279.46
1640312640,51238.2,51319.86,51213.16,51242.42
1640312580,51216,51253.28,51216,51248.98
1640312520,51207.73,51216,51207.73,51216
1640312460,51255.09,51255.09,51194.68,51214.27
1640312400,51267.69,51267.69,51247.91,51247.91
1640312340,51279.87,51279.87,51252.25,51252.25
1640312280,51266.96,51282.79,51266.96,51282.79
1640312220,51261.28,51286.86,51261.28,51280.59
